order_id;product_id;unitprice;quantity;customer_id;orderdate;employee_id;deliverydate
13582;9;331,0;73;22;2019-07-22;3;2019-07-23
13223;2;386,7;37;114;2019-09-30;4;2019-10-01
14199;6;118,66;21;122;2019-03-23;10;2019-03-24
12842;19;1137,52;53;91;2021-08-26;2;2021-08-27
12245;5;246,52;17;89;2019-01-22;5;2019-01-23
10175;0;898,63;96;7;2021-01-23;1;2021-01-24
14563;10;508,16;75;149;2019-03-27;7;2019-03-28
13555;12;475,26;63;90;2019-09-30;4;2019-10-01
14887;5;858,4;84;60;2019-01-04;7;2019-01-05
14191;10;450,31;64;68;2019-09-03;9;2019-09-04
10153;8;669,58;23;189;2020-10-27;1;2020-10-28
13209;2;866,03;5;73;2020-06-19;4;2020-06-20
12380;3;757,24;87;185;2019-04-11;7;2019-04-12
12865;19;867,16;98;110;2021-08-27;3;2021-08-28
11308;6;235,51;80;73;2021-07-07;2;2021-07-08
10267;20;844,8;32;155;2021-05-26;3;2021-05-27
11666;4;781,95;44;192;2018-12-20;5;2018-12-21
14750;9;537,76;96;172;2019-04-21;5;2019-04-22
13952;15;552,24;29;189;2019-07-30;3;2019-07-31
10488;13;151,46;56;107;2021-10-01;3;2021-10-02
13445;5;398,03;88;38;2019-05-05;3;2019-05-06
10836;15;1045,51;78;34;2019-04-22;2;2019-04-23
14644;11;162,98;66;93;2021-06-16;9;2021-06-17
10322;13;1196,46;78;34;2021-09-15;9;2021-09-16
11438;20;439,06;12;127;2019-03-11;3;2019-03-12
14966;15;248,14;89;13;2019-04-23;10;2019-04-24
14759;16;753,58;27;94;2019-01-29;5;2019-01-30
13643;11;231,25;27;132;2020-08-05;3;2020-08-06
10437;8;550,58;39;138;2019-10-05;2;2019-10-06
10918;12;104,85;77;191;2020-11-07;4;2020-11-08
11611;18;40,46;81;131;2019-10-24;10;2019-10-25
13685;3;518,56;41;32;2020-01-21;4;2020-01-22
13943;13;696,52;90;0;2020-11-03;1;2020-11-04
14440;3;462,96;25;67;2019-03-11;1;2019-03-12
10371;0;655,01;53;10;2019-05-02;10;2019-05-03
10315;11;505,78;10;26;2020-11-27;4;2020-11-28
13724;14;1213,8;33;19;2021-10-03;9;2021-10-04
11736;8;307,35;11;65;2020-01-07;1;2020-01-08
13105;10;1005,46;45;148;2021-11-03;9;2021-11-04
13505;6;505,99;99;53;2020-02-21;10;2020-02-22
12652;6;374,66;40;141;2020-08-27;6;2020-08-28
10484;3;638,68;52;142;2019-03-22;7;2019-03-23
13079;13;92,93;23;111;2019-12-06;2;2019-12-07
13954;9;375,51;20;66;2020-06-23;10;2020-06-24
11371;1;66,73;30;50;2019-09-14;6;2019-09-15
13986;5;139,54;50;141;2018-12-17;6;2018-12-18
